theme_id,theme_code,theme_name,theme_name_eng,order_no,is_active,created_on,created_by,modified_on,modified_by,is_standardised
1,gnp,Геодезийн цэг тэмдэгт,Geodetical network point,1,t,2021-01-08 20:49:53.557648,1,2021-01-08 20:49:53.557648,1,t
2,tm,Байр зүйн зураг,Topographic map,2,t,2021-01-08 20:49:53.557648,1,2021-01-08 20:49:53.557648,1,t
3,bnd,Хил зааг,Boundary,3,t,2021-01-08 20:49:53.557648,1,2021-01-08 20:49:53.557648,1,t
4,ad,Хаяг,Addresses,4,t,2021-01-08 20:49:53.557648,1,2021-01-08 20:49:53.557648,1,t
5,bu,"Барилга, суурин газар",Buildings,5,t,2021-01-08 20:49:53.557648,1,2021-01-08 20:49:53.557648,1,t
6,el,"Өндөржилт, гүн",Elevation,6,t,2021-01-08 20:49:53.557648,1,2021-01-08 20:49:53.557648,1,t
7,gn,Газар зүйн нэр,Geographical names,7,t,2021-01-08 20:49:53.557648,1,2021-01-08 20:49:53.557648,1,t
8,lu,Газар ашиглалт,Land use,8,t,2021-01-08 20:49:53.557648,1,2021-01-08 20:49:53.557648,1,t
9,lc,Газрын бүрхэвч,Land cover,9,t,2021-01-08 20:49:53.557648,1,2021-01-08 20:49:53.557648,1,t
10,cp,Газрын нэгж талбар,Cadastral parcels,10,t,2021-01-08 20:49:53.557648,1,2021-01-08 20:49:53.557648,1,t
11,ugs,Дэд бүтэц,Utility and governmental services,11,t,2021-01-08 20:49:53.557648,1,2021-01-08 20:49:53.557648,1,t
12,tn,Тээврийн сүлжээ,Transport networks,12,t,2021-01-08 20:49:53.557648,1,2021-01-08 20:49:53.557648,1,t
13,hg,Ус зүйн мэдээлэл,Hydrography,13,t,2021-01-08 20:49:53.557648,1,2021-01-08 20:49:53.557648,1,t
14,oi,Ортозураг,Orthoimagery,14,t,2021-01-08 20:49:53.557648,1,2021-01-08 20:49:53.557648,1,t
15,so,Хөрс,Soil,15,t,2021-01-08 20:49:53.557648,1,2021-01-08 20:49:53.557648,1,t
16,geo,Инженер-геологи,Geology,16,t,2021-01-08 20:49:53.557648,1,2021-01-08 20:49:53.557648,1,t
17,pdd,Хүн ам зүйн мэдээлэл,Population distribution and demography,17,t,2021-01-08 20:49:53.557648,1,2021-01-08 20:49:53.557648,1,t
18,hcm,"Түүх соёл, археологийн өв",Historical and cultural monuments,18,t,2021-01-08 20:49:53.557648,1,2021-01-08 20:49:53.557648,1,t
